name,draft_age,draft_class,height,weight,school,position,url,ncaa_data,ncaa_awards,nba_data,nba_awards
A.J. Storr,20,2024,6-6,200,Wisconsin,F,https://basketball.realgm.com/player/AJ-Storr/Summary/138702,"[{'season': '2022-23', 'team': ""St. John's"", 'gp': 33, 'gs': 15, 'min': 21.1, 'ppg': 8.85, 'fgm': 3.21, 'fga': 7.39, 'fg%': 0.434, '3pm': 1.15, '3pa': 2.85, '3p%': 0.404, 'ftm': 1.27, 'fta': 1.7, 'ft%': 0.75, 'orb': 0.3, 'drb': 1.64, 'trb': 1.94, 'ast': 0.82, 'stl': 0.39, 'blk': 0.18, 'tov': 1.09, 'pf': 1.64, 'ows': 1.07, 'dws': 0.62, 'ws': 1.68, 'ts%': 0.54, 'efg%': 0.512, 'orb%': 1.57, 'drb%': 8.67, 'trb%': 5.09, 'ast%': 6.77, 'tov%': 11.74, 'stl%': 1.01, 'blk%': 0.93, 'usg%': 20.35, 'ortg': 106.8, 'drtg': 106.0, 'per': 12.68}, {'season': '2023-24', 'team': 'Wisconsin', 'gp': 36, 'gs': 36, 'min': 28.8, 'ppg': 16.81, 'fgm': 6.0, 'fga': 13.83, 'fg%': 0.434, '3pm': 1.33, '3pa': 4.17, '3p%': 0.32, 'ftm': 3.47, 'fta': 4.28, 'ft%': 0.812, 'orb': 1.11, 'drb': 2.83, 'trb': 3.94, 'ast': 0.89, 'stl': 0.61, 'blk': 0.14, 'tov': 1.58, 'pf': 1.14, 'ows': 2.53, 'dws': 0.94, 'ws': 3.47, 'ts%': 0.53, 'efg%': 0.482, 'orb%': 5.07, 'drb%': 13.72, 'trb%': 9.27, 'ast%': 6.93, 'tov%': 9.07, 'stl%': 1.27, 'blk%': 0.54, 'usg%': 32.14, 'ortg': 108.3, 'drtg': 107.1, 'per': 20.54}]",[],[],[]
AJ Johnson,19,2024,6-6,175,NBL Next Stars (Australia),G,https://basketball.realgm.com/player/AJ-Johnson/Summary/161547,"[{'season': '2023-24 *', 'team': 'All Teams', 'gp': 29, 'gs': 0, 'min': 8.3, 'ppg': 2.86, 'fgm': 1.14, 'fga': 3.21, 'fg%': 0.355, '3pm': 0.34, '3pa': 1.24, '3p%': 0.278, 'ftm': 0.24, 'fta': 0.45, 'ft%': 0.538, 'orb': 0.28, 'drb': 0.97, 'trb': 1.24, 'ast': 0.79, 'stl': 0.21, 'blk': 0.14, 'tov': 0.69, 'pf': 0.9, 'ows': 0.517, 'dws': 0.47, 'ws': 0.12, 'ts%': 0.0, 'efg%': 0.42, 'orb%': 0.409, 'drb%': 3.53, 'trb%': 12.58, 'ast%': 8.01, 'tov%': 13.91, 'stl%': 16.85, 'blk%': 1.26, 'usg%': 1.59, 'ortg': 0.89, 'drtg': 85.8, 'per': 112.2}, {'season': '2023-24 *', 'team': 'Illawarra', 'gp': 26, 'gs': 0, 'min': 7.7, 'ppg': 2.85, 'fgm': 1.12, 'fga': 3.04, 'fg%': 0.367, '3pm': 0.35, '3pa': 1.15, '3p%': 0.3, 'ftm': 0.27, 'fta': 0.5, 'ft%': 0.538, 'orb': 0.27, 'drb': 1.0, 'trb': 1.27, 'ast': 0.69, 'stl': 0.23, 'blk': 0.12, 'tov': 0.58, 'pf': 0.73, 'ows': 0.5, 'dws': 0.37, 'ws': 0.24, 'ts%': 0.0, 'efg%': 0.437, 'orb%': 0.424, 'drb%': 3.64, 'trb%': 14.03, 'ast%': 8.74, 'tov%': 13.11, 'stl%': 15.04, 'blk%': 1.5, 'usg%': 1.41, 'ortg': 0.94, 'drtg': 89.9, 'per': 111.8}]",[],[],[]
Ajay Mitchell,21,2024,6-5,190,UC Santa Barbara,PG,https://basketball.realgm.com/player/Ajay-Mitchell/Summary/139191,"[{'season': '2021-22', 'team': 'UC Santa Barbara', 'gp': 27, 'gs': 23, 'min': 32.0, 'ppg': 11.56, 'fgm': 4.15, 'fga': 7.81, 'fg%': 0.531, '3pm': 0.59, '3pa': 1.81, '3p%': 0.327, 'ftm': 2.67, 'fta': 3.56, 'ft%': 0.75, 'orb': 0.15, 'drb': 2.07, 'trb': 2.22, 'ast': 3.74, 'stl': 0.81, 'blk': 0.22, 'tov': 1.78, 'pf': 2.93, 'ows': 2.27, 'dws': 1.22, 'ws': 3.49, 'ts%': 0.608, 'efg%': 0.569, 'orb%': 0.61, 'drb%': 7.56, 'trb%': 4.31, 'ast%': 22.12, 'tov%': 15.76, 'stl%': 1.53, 'blk%': 0.75, 'usg%': 18.62, 'ortg': 118.2, 'drtg': 100.0, 'per': 16.63}, {'season': '2022-23', 'team': 'UC Santa Barbara', 'gp': 35, 'gs': 35, 'min': 34.0, 'ppg': 16.31, 'fgm': 5.63, 'fga': 11.11, 'fg%': 0.506, '3pm': 0.57, '3pa': 2.14, '3p%': 0.267, 'ftm': 4.49, 'fta': 5.51, 'ft%': 0.813, 'orb': 0.31, 'drb': 2.4, 'trb': 2.71, 'ast': 5.11, 'stl': 1.31, 'blk': 0.29, 'tov': 2.23, 'pf': 1.97, 'ows': 4.4, 'dws': 1.6, 'ws': 6.0, 'ts%': 0.594, 'efg%': 0.532, 'orb%': 1.3, 'drb%': 9.31, 'trb%': 5.43, 'ast%': 30.57, 'tov%': 13.96, 'stl%': 2.33, 'blk%': 0.91, 'usg%': 25.73, 'ortg': 119.4, 'drtg': 101.2, 'per': 23.79}, {'season': '2023-24', 'team': 'UC Santa Barbara', 'gp': 29, 'gs': 29, 'min': 31.5, 'ppg': 20.0, 'fgm': 6.72, 'fga': 13.34, 'fg%': 0.504, '3pm': 1.14, '3pa': 2.9, '3p%': 0.393, 'ftm': 5.41, 'fta': 6.31, 'ft%': 0.858, 'orb': 0.24, 'drb': 3.79, 'trb': 4.03, 'ast': 3.97, 'stl': 1.17, 'blk': 0.38, 'tov': 2.55, 'pf': 2.55, 'ows': 3.75, 'dws': 1.12, 'ws': 4.87, 'ts%': 0.612, 'efg%': 0.547, 'orb%': 1.09, 'drb%': 14.68, 'trb%': 8.4, 'ast%': 28.13, 'tov%': 13.51, 'stl%': 2.14, 'blk%': 1.25, 'usg%': 31.39, 'ortg': 119.2, 'drtg': 103.8, 'per': 26.74}]",[],[],[]
Alex Karaban,21,2024,6-8,210,UConn,F,https://basketball.realgm.com/player/Alex-Karaban/Summary/151218,"[{'season': '2022-23', 'team': 'UConn', 'gp': 39, 'gs': 36, 'min': 28.9, 'ppg': 9.33, 'fgm': 3.33, 'fga': 7.0, 'fg%': 0.476, '3pm': 1.69, '3pa': 4.21, '3p%': 0.402, 'ftm': 0.97, 'fta': 1.21, 'ft%': 0.809, 'orb': 1.56, 'drb': 2.95, 'trb': 4.51, 'ast': 1.69, 'stl': 0.54, 'blk': 0.72, 'tov': 1.18, 'pf': 2.44, 'ows': 2.78, 'dws': 2.03, 'ws': 4.82, 'ts%': 0.616, 'efg%': 0.597, 'orb%': 6.65, 'drb%': 12.04, 'trb%': 9.4, 'ast%': 10.12, 'tov%': 13.48, 'stl%': 1.08, 'blk%': 2.6, 'usg%': 14.91, 'ortg': 125.6, 'drtg': 96.5, 'per': 15.76}, {'season': '2023-24', 'team': 'UConn', 'gp': 39, 'gs': 39, 'min': 31.3, 'ppg': 13.26, 'fgm': 4.9, 'fga': 9.9, 'fg%': 0.495, '3pm': 2.08, '3pa': 5.49, '3p%': 0.379, 'ftm': 1.38, 'fta': 1.56, 'ft%': 0.885, 'orb': 1.44, 'drb': 3.62, 'trb': 5.05, 'ast': 1.46, 'stl': 0.87, 'blk': 0.85, 'tov': 0.85, 'pf': 1.74, 'ows': 4.09, 'dws': 2.33, 'ws': 6.41, 'ts%': 0.623, 'efg%': 0.6, 'orb%': 6.26, 'drb%': 13.68, 'trb%': 10.23, 'ast%': 8.03, 'tov%': 7.37, 'stl%': 1.65, 'blk%': 2.83, 'usg%': 19.07, 'ortg': 132.0, 'drtg': 96.7, 'per': 20.89}]",[],[],[]
Alexandre Sarr,19,2024,7-1,224,Perth (Australia),F/C,https://basketball.realgm.com/player/Alex-Sarr/Summary/162806,"[{'season': '2023-24 *', 'team': 'All Teams', 'gp': 30, 'gs': 0, 'min': 18.0, 'ppg': 9.6, 'fgm': 3.57, 'fga': 7.13, 'fg%': 0.5, '3pm': 0.53, '3pa': 1.93, '3p%': 0.276, 'ftm': 1.93, 'fta': 2.73, 'ft%': 0.707, 'orb': 1.53, 'drb': 2.97, 'trb': 4.5, 'ast': 1.03, 'stl': 0.43, 'blk': 1.53, 'tov': 1.03, 'pf': 1.37, 'ows': 0.567, 'dws': 1.46, 'ws': 0.62, 'ts%': 0.0, 'efg%': 0.576, 'orb%': 0.537, 'drb%': 8.84, 'trb%': 18.18, 'ast%': 13.37, 'tov%': 9.45, 'stl%': 11.03, 'blk%': 1.18, 'usg%': 8.0, 'ortg': 1.35, 'drtg': 116.0, 'per': 107.9}, {'season': '2023-24 *', 'team': 'Perth', 'gp': 27, 'gs': 0, 'min': 17.3, 'ppg': 9.44, 'fgm': 3.56, 'fga': 6.89, 'fg%': 0.516, '3pm': 0.52, '3pa': 1.81, '3p%': 0.286, 'ftm': 1.81, 'fta': 2.56, 'ft%': 0.71, 'orb': 1.41, 'drb': 2.85, 'trb': 4.26, 'ast': 0.89, 'stl': 0.44, 'blk': 1.48, 'tov': 1.04, 'pf': 1.37, 'ows': 0.519, 'dws': 0.98, 'ws': 0.79, 'ts%': 0.0, 'efg%': 0.589, 'orb%': 0.554, 'drb%': 8.45, 'trb%': 18.25, 'ast%': 13.19, 'tov%': 8.74, 'stl%': 11.46, 'blk%': 1.26, 'usg%': 7.91, 'ortg': 1.37, 'drtg': 116.3, 'per': 108.2}]",[],[],[]
Antonio Reeves,23,2024,6-5,205,Kentucky,GF,https://basketball.realgm.com/player/Antonio-Reeves/Summary/127856,"[{'season': '2019-20', 'team': 'Illinois State', 'gp': 31, 'gs': 3, 'min': 22.4, 'ppg': 7.16, 'fgm': 2.61, 'fga': 6.81, 'fg%': 0.384, '3pm': 1.06, '3pa': 3.39, '3p%': 0.314, 'ftm': 0.87, 'fta': 1.32, 'ft%': 0.659, 'orb': 0.48, 'drb': 1.97, 'trb': 2.45, 'ast': 0.71, 'stl': 0.65, 'blk': 0.06, 'tov': 0.97, 'pf': 1.23, 'ows': 0.42, 'dws': 0.61, 'ws': 1.02, 'ts%': 0.482, 'efg%': 0.462, 'orb%': 2.51, 'drb%': 10.46, 'trb%': 6.43, 'ast%': 6.64, 'tov%': 11.52, 'stl%': 1.68, 'blk%': 0.34, 'usg%': 19.47, 'ortg': 94.8, 'drtg': 104.3, 'per': 11.18}, {'season': '2020-21', 'team': 'Illinois State', 'gp': 25, 'gs': 24, 'min': 29.9, 'ppg': 12.44, 'fgm': 4.4, 'fga': 10.36, 'fg%': 0.425, '3pm': 1.32, '3pa': 4.32, '3p%': 0.306, 'ftm': 2.32, 'fta': 3.04, 'ft%': 0.763, 'orb': 0.76, 'drb': 2.52, 'trb': 3.28, 'ast': 1.44, 'stl': 0.36, 'blk': 0.24, 'tov': 1.8, 'pf': 1.44, 'ows': 1.01, 'dws': 0.33, 'ws': 1.33, 'ts%': 0.527, 'efg%': 0.488, 'orb%': 2.99, 'drb%': 9.32, 'trb%': 6.25, 'ast%': 9.22, 'tov%': 13.23, 'stl%': 0.68, 'blk%': 0.9, 'usg%': 23.09, 'ortg': 101.2, 'drtg': 109.5, 'per': 14.24}, {'season': '2021-22', 'team': 'Illinois State', 'gp': 33, 'gs': 33, 'min': 35.0, 'ppg': 20.06, 'fgm': 7.18, 'fga': 15.33, 'fg%': 0.468, '3pm': 2.3, '3pa': 5.91, '3p%': 0.39, 'ftm': 3.39, 'fta': 4.15, 'ft%': 0.818, 'orb': 0.58, 'drb': 2.97, 'trb': 3.55, 'ast': 1.82, 'stl': 1.09, 'blk': 0.45, 'tov': 2.33, 'pf': 1.79, 'ows': 3.47, 'dws': 0.68, 'ws': 4.15, 'ts%': 0.58, 'efg%': 0.543, 'orb%': 1.98, 'drb%': 9.69, 'trb%': 5.94, 'ast%': 11.93, 'tov%': 11.88, 'stl%': 1.81, 'blk%': 1.42, 'usg%': 28.52, 'ortg': 112.5, 'drtg': 108.5, 'per': 22.04}, {'season': '2022-23', 'team': 'Kentucky', 'gp': 34, 'gs': 16, 'min': 27.8, 'ppg': 14.35, 'fgm': 4.94, 'fga': 11.88, 'fg%': 0.416, '3pm': 2.35, '3pa': 5.91, '3p%': 0.398, 'ftm': 2.12, 'fta': 2.71, 'ft%': 0.783, 'orb': 0.38, 'drb': 1.74, 'trb': 2.12, 'ast': 1.09, 'stl': 0.41, 'blk': 0.18, 'tov': 1.47, 'pf': 2.06, 'ows': 2.4, 'dws': 0.8, 'ws': 3.2, 'ts%': 0.545, 'efg%': 0.515, 'orb%': 1.66, 'drb%': 7.69, 'trb%': 4.64, 'ast%': 7.79, 'tov%': 10.05, 'stl%': 0.88, 'blk%': 0.7, 'usg%': 26.27, 'ortg': 112.5, 'drtg': 106.4, 'per': 16.09}, {'season': '2023-24', 'team': 'Kentucky', 'gp': 33, 'gs': 33, 'min': 31.4, 'ppg': 20.21, 'fgm': 7.12, 'fga': 13.91, 'fg%': 0.512, '3pm': 2.55, '3pa': 5.7, '3p%': 0.447, 'ftm': 3.42, 'fta': 3.97, 'ft%': 0.863, 'orb': 0.73, 'drb': 3.42, 'trb': 4.15, 'ast': 1.64, 'stl': 0.67, 'blk': 0.24, 'tov': 1.21, 'pf': 1.79, 'ows': 4.28, 'dws': 0.67, 'ws': 4.94, 'ts%': 0.64, 'efg%': 0.603, 'orb%': 2.91, 'drb%': 12.26, 'trb%': 7.84, 'ast%': 9.24, 'tov%': 7.13, 'stl%': 1.12, 'blk%': 0.81, 'usg%': 25.94, 'ortg': 128.1, 'drtg': 109.9, 'per': 24.18}]",[],[],[]
Babacar Sane,20,2024,6-7,230,NBA G League Ignite,F,https://basketball.realgm.com/player/Babacar-Sane/Summary/153120,"[{'season': '2022-23', 'team': 'IGN', 'gp': 23, 'gs': 8, 'min': 20.7, 'ppg': 7.0, 'fgm': 2.74, 'fga': 6.48, 'fg%': 0.423, '3pm': 0.61, '3pa': 1.87, '3p%': 0.326, 'ftm': 0.48, 'fta': 0.91, 'ft%': 0.524, 'orb': 1.26, 'drb': 4.65, 'trb': 5.91, 'ast': 0.61, 'stl': 0.39, 'blk': 0.65, 'tov': 1.57, 'pf': 2.17, 'ows': 0.348, 'dws': 0.94, 'ws': 0.36, 'ts%': 8.0, 'efg%': 0.509, 'orb%': 0.47, 'drb%': 6.87, 'trb%': 24.4, 'ast%': 15.8, 'tov%': 4.13, 'stl%': 18.53, 'blk%': 0.96, 'usg%': 2.92, 'ortg': 1.08, 'drtg': 87.7, 'per': 119.4}, {'season': '2023-24', 'team': 'IGN', 'gp': 23, 'gs': 8, 'min': 22.5, 'ppg': 10.96, 'fgm': 3.83, 'fga': 8.43, 'fg%': 0.454, '3pm': 0.48, '3pa': 1.87, '3p%': 0.256, 'ftm': 1.61, 'fta': 2.35, 'ft%': 0.685, 'orb': 1.48, 'drb': 4.35, 'trb': 5.83, 'ast': 0.52, 'stl': 0.52, 'blk': 0.48, 'tov': 1.7, 'pf': 3.17, 'ows': 0.043, 'dws': 0.69, 'ws': 0.2, 'ts%': 8.0, 'efg%': 0.579, 'orb%': 0.482, 'drb%': 7.22, 'trb%': 22.53, 'ast%': 14.64, 'tov%': 3.73, 'stl%': 15.19, 'blk%': 1.17, 'usg%': 1.85, 'ortg': 1.3, 'drtg': 94.8, 'per': 121.0}]",[],[],[]
Baylor Scheierman,23,2024,6-7,205,Creighton,PG,https://basketball.realgm.com/player/Baylor-Scheierman/Summary/134595,"[{'season': '2019-20', 'team': 'South Dakota State', 'gp': 32, 'gs': 3, 'min': 20.2, 'ppg': 5.97, 'fgm': 2.19, 'fga': 5.12, 'fg%': 0.427, '3pm': 0.59, '3pa': 2.41, '3p%': 0.247, 'ftm': 1.0, 'fta': 1.5, 'ft%': 0.667, 'orb': 0.78, 'drb': 3.88, 'trb': 4.66, 'ast': 2.22, 'stl': 0.38, 'blk': 0.19, 'tov': 2.0, 'pf': 2.22, 'ows': 0.44, 'dws': 0.91, 'ws': 1.35, 'ts%': 0.511, 'efg%': 0.485, 'orb%': 4.78, 'drb%': 19.79, 'trb%': 12.96, 'ast%': 18.41, 'tov%': 25.52, 'stl%': 1.07, 'blk%': 0.97, 'usg%': 19.62, 'ortg': 94.8, 'drtg': 98.9, 'per': 12.45}, {'season': '2020-21', 'team': 'South Dakota State', 'gp': 23, 'gs': 23, 'min': 35.3, 'ppg': 15.43, 'fgm': 5.17, 'fga': 10.39, 'fg%': 0.498, '3pm': 2.48, '3pa': 5.65, '3p%': 0.438, 'ftm': 2.61, 'fta': 3.09, 'ft%': 0.845, 'orb': 0.57, 'drb': 8.65, 'trb': 9.22, 'ast': 3.96, 'stl': 1.04, 'blk': 0.17, 'tov': 1.96, 'pf': 1.22, 'ows': 2.87, 'dws': 1.07, 'ws': 3.94, 'ts%': 0.651, 'efg%': 0.617, 'orb%': 2.04, 'drb%': 27.91, 'trb%': 15.68, 'ast%': 19.79, 'tov%': 14.16, 'stl%': 1.65, 'blk%': 0.54, 'usg%': 19.62, 'ortg': 125.6, 'drtg': 100.5, 'per': 24.32}, {'season': '2021-22', 'team': 'South Dakota State', 'gp': 35, 'gs': 35, 'min': 33.1, 'ppg': 16.23, 'fgm': 5.54, 'fga': 10.91, 'fg%': 0.508, '3pm': 2.37, '3pa': 5.06, '3p%': 0.469, 'ftm': 2.77, 'fta': 3.46, 'ft%': 0.802, 'orb': 0.49, 'drb': 7.34, 'trb': 7.83, 'ast': 4.51, 'stl': 1.34, 'blk': 0.14, 'tov': 1.94, 'pf': 2.0, 'ows': 4.86, 'dws': 1.77, 'ws': 6.64, 'ts%': 0.646, 'efg%': 0.616, 'orb%': 1.92, 'drb%': 24.37, 'trb%': 14.12, 'ast%': 22.72, 'tov%': 13.4, 'stl%': 2.27, 'blk%': 0.47, 'usg%': 22.11, 'ortg': 127.8, 'drtg': 98.8, 'per': 26.07}, {'season': '2022-23', 'team': 'Creighton', 'gp': 37, 'gs': 37, 'min': 32.8, 'ppg': 12.76, 'fgm': 4.35, 'fga': 10.27, 'fg%': 0.424, '3pm': 2.35, '3pa': 6.46, '3p%': 0.364, 'ftm': 1.7, 'fta': 2.03, 'ft%': 0.84, 'orb': 0.95, 'drb': 7.32, 'trb': 8.27, 'ast': 3.27, 'stl': 1.03, 'blk': 0.24, 'tov': 2.16, 'pf': 2.11, 'ows': 2.39, 'dws': 2.3, 'ws': 4.69, 'ts%': 0.568, 'efg%': 0.538, 'orb%': 3.72, 'drb%': 25.01, 'trb%': 15.11, 'ast%': 18.23, 'tov%': 16.14, 'stl%': 1.8, 'blk%': 0.67, 'usg%': 21.23, 'ortg': 109.0, 'drtg': 95.5, 'per': 18.58}, {'season': '2023-24', 'team': 'Creighton', 'gp': 35, 'gs': 35, 'min': 36.7, 'ppg': 18.49, 'fgm': 6.26, 'fga': 13.97, 'fg%': 0.448, '3pm': 3.14, '3pa': 8.26, '3p%': 0.381, 'ftm': 2.83, 'fta': 3.23, 'ft%': 0.876, 'orb': 0.74, 'drb': 8.26, 'trb': 9.0, 'ast': 3.94, 'stl': 0.91, 'blk': 0.14, 'tov': 2.23, 'pf': 1.66, 'ows': 4.08, 'dws': 2.27, 'ws': 6.35, 'ts%': 0.596, 'efg%': 0.56, 'orb%': 2.73, 'drb%': 24.67, 'trb%': 14.84, 'ast%': 19.98, 'tov%': 12.57, 'stl%': 1.46, 'blk%': 0.33, 'usg%': 25.7, 'ortg': 117.6, 'drtg': 98.1, 'per': 22.86}]",[],[],[]
Blake Hinson,24,2024,6-7,235,Pittsburgh,SG,https://basketball.realgm.com/player/Blake-Hinson/Summary/105343,"[{'season': '2018-19', 'team': 'Ole Miss', 'gp': 32, 'gs': 30, 'min': 24.0, 'ppg': 8.25, 'fgm': 2.75, 'fga': 6.78, 'fg%': 0.406, '3pm': 1.44, '3pa': 4.12, '3p%': 0.348, 'ftm': 1.31, 'fta': 1.78, 'ft%': 0.737, 'orb': 0.72, 'drb': 2.22, 'trb': 2.94, 'ast': 1.12, 'stl': 0.47, 'blk': 0.28, 'tov': 0.88, 'pf': 2.84, 'ows': 1.35, 'dws': 0.72, 'ws': 2.07, 'ts%': 0.541, 'efg%': 0.512, 'orb%': 3.69, 'drb%': 10.82, 'trb%': 7.35, 'ast%': 8.5, 'tov%': 10.29, 'stl%': 1.12, 'blk%': 1.26, 'usg%': 18.01, 'ortg': 112.1, 'drtg': 106.1, 'per': 12.01}, {'season': '2019-20', 'team': 'Ole Miss', 'gp': 28, 'gs': 27, 'min': 31.1, 'ppg': 10.14, 'fgm': 3.46, 'fga': 8.75, 'fg%': 0.396, '3pm': 1.61, '3pa': 5.04, '3p%': 0.319, 'ftm': 1.61, 'fta': 2.29, 'ft%': 0.703, 'orb': 1.21, 'drb': 3.39, 'trb': 4.61, 'ast': 1.39, 'stl': 0.57, 'blk': 0.32, 'tov': 2.21, 'pf': 3.18, 'ows': 0.52, 'dws': 0.69, 'ws': 1.21, 'ts%': 0.516, 'efg%': 0.488, 'orb%': 4.51, 'drb%': 13.08, 'trb%': 8.72, 'ast%': 9.38, 'tov%': 18.38, 'stl%': 1.07, 'blk%': 1.15, 'usg%': 19.91, 'ortg': 94.3, 'drtg': 105.1, 'per': 10.94}, {'season': '2020-21', 'team': 'Iowa State', 'gp': 0, 'gs': 0, 'min': 0.0, 'ppg': 0.0, 'fgm': 0.0, 'fga': 0.0, 'fg%': 0.0, '3pm': 0.0, '3pa': 0.0, '3p%': 0.0, 'ftm': 0.0, 'fta': 0.0, 'ft%': 0.0, 'orb': 0.0, 'drb': 0.0, 'trb': 0.0, 'ast': 0.0, 'stl': 0.0, 'blk': 0.0, 'tov': 0.0, 'pf': 0.0, 'ows': 0.0, 'dws': 0.0, 'ws': 0.0, 'ts%': 0.0, 'efg%': 0.0, 'orb%': 0.0, 'drb%': 0.0, 'trb%': 0.0, 'ast%': 0.0, 'tov%': 0.0, 'stl%': 0.0, 'blk%': 0.0, 'usg%': 0.0, 'ortg': 0.0, 'drtg': 0.0, 'per': 0.0}, {'season': '2021-22', 'team': 'Iowa State', 'gp': 0, 'gs': 0, 'min': 0.0, 'ppg': 0.0, 'fgm': 0.0, 'fga': 0.0, 'fg%': 0.0, '3pm': 0.0, '3pa': 0.0, '3p%': 0.0, 'ftm': 0.0, 'fta': 0.0, 'ft%': 0.0, 'orb': 0.0, 'drb': 0.0, 'trb': 0.0, 'ast': 0.0, 'stl': 0.0, 'blk': 0.0, 'tov': 0.0, 'pf': 0.0, 'ows': 0.0, 'dws': 0.0, 'ws': 0.0, 'ts%': 0.0, 'efg%': 0.0, 'orb%': 0.0, 'drb%': 0.0, 'trb%': 0.0, 'ast%': 0.0, 'tov%': 0.0, 'stl%': 0.0, 'blk%': 0.0, 'usg%': 0.0, 'ortg': 0.0, 'drtg': 0.0, 'per': 0.0}, {'season': '2022-23', 'team': 'Pittsburgh', 'gp': 36, 'gs': 35, 'min': 31.7, 'ppg': 15.28, 'fgm': 5.03, 'fga': 11.75, 'fg%': 0.428, '3pm': 2.69, '3pa': 7.08, '3p%': 0.38, 'ftm': 2.53, 'fta': 3.72, 'ft%': 0.679, 'orb': 1.44, 'drb': 4.58, 'trb': 6.03, 'ast': 1.19, 'stl': 0.64, 'blk': 0.53, 'tov': 1.67, 'pf': 2.92, 'ows': 2.81, 'dws': 1.4, 'ws': 4.21, 'ts%': 0.565, 'efg%': 0.543, 'orb%': 5.52, 'drb%': 16.48, 'trb%': 11.17, 'ast%': 7.71, 'tov%': 10.98, 'stl%': 1.17, 'blk%': 1.86, 'usg%': 24.61, 'ortg': 112.0, 'drtg': 102.5, 'per': 18.77}, {'season': '2023-24', 'team': 'Pittsburgh', 'gp': 33, 'gs': 33, 'min': 33.5, 'ppg': 18.45, 'fgm': 6.09, 'fga': 13.42, 'fg%': 0.454, '3pm': 3.33, '3pa': 7.91, '3p%': 0.421, 'ftm': 2.94, 'fta': 4.39, 'ft%': 0.669, 'orb': 0.94, 'drb': 3.48, 'trb': 4.42, 'ast': 0.79, 'stl': 0.55, 'blk': 0.15, 'tov': 1.27, 'pf': 2.18, 'ows': 3.49, 'dws': 1.22, 'ws': 4.71, 'ts%': 0.595, 'efg%': 0.578, 'orb%': 3.26, 'drb%': 13.23, 'trb%': 8.02, 'ast%': 4.89, 'tov%': 7.58, 'stl%': 0.96, 'blk%': 0.53, 'usg%': 25.59, 'ortg': 119.5, 'drtg': 105.1, 'per': 20.17}]",[],[],[]
Bobi Klintman,21,2024,6-10,220,Wake Forest (USA),F,https://basketball.realgm.com/player/Bobi-Klintman/Summary/147161,"[{'season': '2020-21', 'team': 'Boras Basket', 'gp': 6, 'gs': 0, 'min': 7.0, 'ppg': 2.0, 'fgm': 0.5, 'fga': 1.67, 'fg%': 0.3, '3pm': 0.17, '3pa': 0.67, '3p%': 0.25, 'ftm': 0.83, 'fta': 1.33, 'ft%': 0.625, 'orb': 0.0, 'drb': 1.33, 'trb': 1.33, 'ast': 0.0, 'stl': 0.0, 'blk': 0.0, 'tov': 0.5, 'pf': 0.5, 'ows': 0.833, 'dws': 0.12, 'ws': 0.04, 'ts%': 0.0, 'efg%': 0.444, 'orb%': 0.35, 'drb%': 0.0, 'trb%': 20.41, 'ast%': 11.04, 'tov%': 0.0, 'stl%': 18.16, 'blk%': 0.0, 'usg%': 0.0, 'ortg': 1.2, 'drtg': 77.0, 'per': 111.7}, {'season': '2023-24 *', 'team': 'All Teams', 'gp': 26, 'gs': 8, 'min': 21.6, 'ppg': 10.15, 'fgm': 3.31, 'fga': 7.62, 'fg%': 0.434, '3pm': 1.19, '3pa': 3.54, '3p%': 0.337, 'ftm': 2.35, 'fta': 2.88, 'ft%': 0.813, 'orb': 0.88, 'drb': 3.85, 'trb': 4.73, 'ast': 0.92, 'stl': 1.04, 'blk': 0.5, 'tov': 1.73, 'pf': 2.69, 'ows': 0.423, 'dws': 0.37, 'ws': 0.6, 'ts%': 8.0, 'efg%': 0.571, 'orb%': 0.513, 'drb%': 4.58, 'trb%': 18.61, 'ast%': 11.84, 'tov%': 6.6, 'stl%': 16.3, 'blk%': 2.29, 'usg%': 2.05, 'ortg': 1.33, 'drtg': 103.2, 'per': 108.4}, {'season': '2023-24 *', 'team': 'Cairns', 'gp': 23, 'gs': 6, 'min': 21.3, 'ppg': 9.74, 'fgm': 3.22, 'fga': 7.26, 'fg%': 0.443, '3pm': 1.3, '3pa': 3.65, '3p%': 0.357, 'ftm': 2.0, 'fta': 2.52, 'ft%': 0.793, 'orb': 0.7, 'drb': 4.09, 'trb': 4.78, 'ast': 0.74, 'stl': 0.83, 'blk': 0.48, 'tov': 1.57, 'pf': 2.74, 'ows': 0.435, 'dws': 0.05, 'ws': 0.84, 'ts%': 6.0, 'efg%': 0.582, 'orb%': 0.533, 'drb%': 3.67, 'trb%': 19.98, 'ast%': 12.14, 'tov%': 5.37, 'stl%': 15.75, 'blk%': 1.86, 'usg%': 1.96, 'ortg': 1.34, 'drtg': 103.3, 'per': 108.1}]",[],[],[]
